Roaster,Name,Review,Roaster_link,Origin,Roast,dollars_per_ounce,Review_date
Paradise Roasters,Ecuador Legrand Robusta Lactic Natural Espresso,"Evaluated as espresso. Gingko nut, artichoke liqueur, strawberry, pink peppercorn, nutmeg in aroma and small cup. Crisply creamy mouthfeel; bittersweet, gently fermenty finish. In three parts milk, savory-leaning (artichoke liqueur) and sweetly nut-toned.",https://paradiseroasters.com/,"Santa Elena Province, Ecuador",Medium-Light,1.58,March 2023
Firelight Coffee,Ethiopia Idido,"Crisp, delicate. Dried green apple, caramel, pecan, orange zest, maple syrup in aroma and cup. Sweetly tart with gentle acidity; full, satiny-smooth mouthfeel. The quiet finish is balanced and friendly.",,"Yirgacheffe growing region, south-central Ethiopia",Medium-Light,1.54,March 2023
Firelight Coffee,Costa Rica Tarrazu Minor Jimenez,"Quietly balanced, accessible. Red apple, cashew, cocoa powder, fir, cane sugar in aroma and cup. Sweet-toned with brisk acidity; velvety-smooth mouthfeel. The gently drying finish consolidates to notes of cocoa-toned fir and cashew.",,"Tarrazu growing region, Costa Rica",Medium-Light,1.5,March 2023
JBC Coffee Roasters,Worka Sakaro Ethiopia,"Deeply sweet, intensely aromatic. Dark chocolate, pink peppercorn, wisteria, apricot, myrrh in aroma and cup. Richly sweet-toned in structure with lively, juicy acidity; syrupy-smooth mouthfeel. The finish is long and lingering: flavor-saturated, chocolaty, floral-toned.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Worka Sakaro, Gedeb District, Gedeo Zone, Ethiopia",Light,1.67,March 2023
JBC Coffee Roasters,Teremuka Peaberry Kenya,"High-toned, richly bright. Pomegranate, red currant, cane sugar, almond brittle, narcissus in aroma and cup. Sweet-tart structure with juicy acidity; lightly satiny mouthfeel. The crisply sweet finish leads with notes of pomegranate and almond.`",https://www.jbccoffeeroasters.com/product-category/coffee/,"Nakuru County, Kenya",Medium-Light,2.0,March 2023
JBC Coffee Roasters,Teremuka Kenya,"Complex, multi-layered. Black currant, wisteria, dark chocolate, black walnut, a hint of sage in aroma and cup. Sweet-toned structure with elegantly juicy acidity; lightly velvety mouthfeel. Chocolaty finish with undertones of walnut and sage.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Nakuru County, Kenya",Medium-Light,2.0,March 2023
JBC Coffee Roasters,La Joya Ecuador,"Brightly sweet, gently herbaceous. Lemongrass, praline, tangerine, oak, agave syrup in aroma and cup. Sweet-tart structure with vibrant acidity; silky-smooth mouthfeel. The crisply sweet finish consolidates to lemongrass and agave syrup.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Gonzanama, Loja Province, Ecuador",Light,2.08,March 2023
JBC Coffee Roasters,Norte Peru,"Chocolaty, sweetly nut-toned. Dark chocolate, hazelnut butter, Bing cherry, cedar, red grape in aroma and cup. Sweet in structure with gentle balance; creamy-smooth mouthfeel. The resonant finish leads with notes of dark chocolate and hazelnut with undertones of cherry.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Jaén Province, Cajamarca Region, Peru",Medium-Light,1.5,March 2023
JBC Coffee Roasters,San Jose del Lago Guatemala,"Crisply sweet, deeply nut-toned. Red grape, pistachio, lemon verbena, cedar, baking chocolate in aroma and cup. Sweet-toned structure with balanced acidity; crisp, satiny mouthfeel. The finish consolidates to red grape and pistachio.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Santiago Atitlán, Sololá Department, Guatemala",Medium-Light,1.83,March 2023
Rusty Dog Coffee,Ethiopia Keramo Natural,"Gently fruit-driven, spice-toned. Raspberry jam, white pepper, magnolia, cedar, cane sugar in aroma and cup. Sweet-toned structure with gentle, round acidity; very full, syrupy mouthfeel. The resonant finish consolidates to notes of raspberry and cedar.",https://www.rustydogcoffee.com/,"Sidamo growing region, Ethiopia ",Light,1.71,March 2023
Rusty Dog Coffee,Peru Cajamarca,"Crisply cocoa-toned, nut-driven. Cocoa powder, hazelnut butter, fresh-cut fir, raisin, brown sugar in aroma and cup. Sweet structure with pert acidity; lightly satiny mouthfeel. The sweetly nutty finish is framed by notes of fresh-cut fir.",https://www.rustydogcoffee.com/,"Cajamarca, Peru",Medium-Light,1.27,March 2023
PT's Coffee Roasting Co.,El Salvador La Muela Pacamara,"Delicately sweet-savory, spice-toned. Cocoa nib, tamarind, pistachio, black cherry, pink peppercorn in aroma and cup. Deep-toned structure with lively acidity; plush, satiny mouthfeel. Crisply spice-toned finish supported by notes of tamarind and pistachio.",https://www.ptscoffee.com,"Chalatenango, El Salvador",Medium-Light,1.92,March 2023
Coffee By Design,Colombia La Cristalina Pink Bourbon Natural,"Sweetly spice-driven. Dried cranberry, freesia, fennel, almond, a hint of paprika in aroma and cup. Sweet-savory structure with brisk acidity; full, lightly syrupy mouthfeel. The gently drying finish leads with notes of cranberry and fennel.",,"Caldas Department, Colombia",Medium-Light,2.08,March 2023
Coffee By Design,Colombia Nariño Aponte Honey,"Savory-leaning, deep-toned. Artichoke blossom, salted caramel, lemon verbena, oak, a hint of musk in aroma and cup. Sweet-savory structure with brisk acidity; syrupy-smooth mouthfeel. The savory finish centers around notes of artichoke blossom and salted caramel.",,"Nariño Department, southern Colombia",Medium-Light,1.67,March 2023
Coffee By Design,Rwanda “Ireme” Anaerobic,"Umami-driven, uniquely composed. Green grape, nopales, cashew, elm, brown sugar in aroma and cup. Savory-tart structure with bittersweet acidity; crisp, satiny mouthfeel. Savory-toned finish with notes of nopales and elm.",,"Nyamasheke, Western Province, Rwanda",Medium-Light,1.92,March 2023
Revel Coffee,Colombia Finca Juan Martin Aced Sidra,"Intensely fruit- and floral-toned. Passionfruit, star jasmine, pink grapefruit zest, amber, salted caramel in aroma and cup. Richly bittersweet structure with balanced, juicy acidity; plush, syrupy mouthfeel. Resonant, lingering, flavor-saturated finish.",https://revelcoffee.com/,"Cauca, Colombia",Light,2.62,March 2023
Roadmap CoffeeWorks,Colombia Red Bomb,"Delicately fruit-forward, berry-driven. Mulberry jam, cocoa nib, lemon balm, agave syrup, a hint of wine barrel in aroma and cup. Balanced, sweet-tart structure with citrusy acidity; plush, syrupy mouthfeel. Fruit-toned finish consolidates to notes of mulberry and lemon balm.",https://roadmapcoffeeworks.com/,"La Sierra, Medellin, Colombia",Medium-Light,2.08,March 2023
Roadmap CoffeeWorks,Espresso Giusto,"Evaluated as espresso. Crisply chocolaty, deeply rich and sweet. Dark chocolate, pomegranate, honeysuckle, pistachio, a hint of sage in aroma and small cup. Plush, syrupy mouthfeel; chocolaty, sweetly herbaceous finish. In cappuccino-scaled milk, notes of dark chocolate are integrated with tart fruit, savory herb, and spice-toned flowers.",https://roadmapcoffeeworks.com/,Colombia; Guatemala; Mexico,Medium-Light,1.41,March 2023
Roadmap CoffeeWorks,French Roast,"Deep-toned, richly bittersweet. Baking chocolate, pipe tobacco, date, gently scorched mesquite, gardenia in aroma and cup. Bittersweet structure with gentle, round acidity; full, creamy mouthfeel. Crisply chocolaty finish with notes of pipe tobacco and gardenia.",https://roadmapcoffeeworks.com/,Guatemala; Mexico,Medium,1.5,March 2023
Barrington Coffee Roasting Co.,Galaxy Gesha Quindio Colombia Edwin Noreña,"Soaringly high-toned anaerobic, bright, complex, exhilarating. Raspberry, rose, violet, cardamom, passionfruit in aroma and cup. In structure, layered and intriguingly savory-bright. Silky in mouthfeel, nimble and lively on the palate. Flowers carry far into a deep, long finish.  ",https://barringtoncoffee.com,"Circasia, Quindio Department, Colombia",Light,3.2,March 2023
Paradise Roasters,Ka‘ū JN Farms Malolactic Honey,"Floral and spice grandeur in a balanced anaerobic. Big, sweet, soaring, perfumy/spicy. Coriander, loquat, marjoram, cocoa, and a range of intense, spicy flowers in aroma and cup. Quite sweet but brightly tangy in structure, with a hint of savory depth. Creamy, lively mouthfeel. The finish is resonant, balanced and lasting. ",https://paradiseroasters.com/,"Ka‘ū growing region, Big Island of Hawai’i",Light,10.0,March 2023
Klatch Coffee,Colombia Monteblanco Rodrigo Sanchez Carbonic Maceration,"Subtly suave, brightly juicy anaerobic. Rose, strawberry, cocoa, pink lemonade, yogurt in aroma and cup. A juicy floral acidity dominates in structure, deepened by a hint of savory depth. Lightly silky, lively mouthfeel. Strawberry and cocoa give way to flowers in a drying finish.",http://www.klatchcoffee.com,"Huila Department, Colombia",Light,2.19,March 2023
Reprise Coffee Roasters,Colombia Cauca Granja Paraiso 92 – Pink Bourbon,"Exuberant yet coherent anaerobic. Butterscotch, blueberry, cocoa, lilac, candycap mushroom in aroma and cup. Sweet, tart and savory impulses balance in a richly expressive structure. Plush, lightly syrupy mouthfeel. Fruit notes consolidate in a long though quiet finish.",,"Piendamo, Cauca Department, Colombia",Light,2.92,March 2023
Olympia Coffee,Ethiopia Gatta Anaerobic,": Anaerobic intrigue, gracefully balanced. Delicately tangy/tart, sweetly herb- and cocoa-toned. Clove, cocoa, tangerine zest, honey, orchid in aroma and cup. Lightly juicy and sweetly tart in structure; satiny in mouthfeel. The finish is cocoa-centered yet deeply and subtly nuanced.  ",,"Sidamo growing region, southern Ethiopia ",Light,2.88,March 2023
PERC Coffee Roasters,Colombia Gesha Spirits Semi-Washed Anaerobic,"An almost sugary-sweet, explosively herby and floral anaerobic. Rosemary, pink peppercorn, star jasmine, apricot yogurt, stone fruit in aroma and cup. Very sweet in structure with a tart edge; plush, supple mouthfeel. Yogurt and herb dominate the sweet finish.",,"Huila Department, Colombia",Light,3.88,March 2023
Chromatic Coffee,Colombia Purple Fruit Anaerobic,"Intense, eccentric anaerobic candy-bomb. Very sweet, intensely fruity and spicy. Bubblegum, musk, raspberry, pistachio, ginger in aroma and cup. Profoundly sweet in structure with a touch of delicately tart acidity. Velvety, lively mouthfeel. In the finish candyish notes fade and musky flowers come forward.",,"Quindio Department, Colombia",Medium-Light,3.75,March 2023
Royal Flamingo Coffee,Colombia Jairo Arcila Peach Maceration,"Exceptionally sweet, very lactic and yogurty, strikingly original in aromatics. Candied violet, clove, rose yogurt, lavender, frankincense in aroma and cup. Sweet and complexly layered in structure. Syrupy mouthfeel. Richly sweet in the finish.",,"Quindio Department, Colombia",Light,2.5,March 2023
Paradise Roasters,Colombia Granja Paraíso-92- Papayo Kōji,"Elegantly fruit-toned, tropical. Lychee, passionfruit, bergamot, star jasmine, lemon thyme in aroma and cup. Gently bright, sweet structure with high-toned acidity; very rich, buoyantly creamy mouthfeel. Long, lingering, integrated finish.",https://paradiseroasters.com/,"Piendamó, Cauca Department, Colombia",Light,10.0,March 2023
Red Rooster Coffee Roaster,Ethiopia Dinkalem Ademe Wush Wush,"Cleanly fruit-toned, crisply chocolaty. Date, pomegranate, cocoa nib, maple syrup, fresh-cut oak in aroma and cup. Sweet structure with high-toned, balanced acidity; viscous, syrupy mouthfeel. Long, resonant, flavor-laden finish.
",https://bit.ly/2XuD3GS,"Guji Zone, Oromia Region, southern Ethiopia",Light,2.33,March 2023
Ragamuffin Coffee Roasters,Panama Finca Lorayne Catuaí Anaerobic,"Crisply sweet-savory, gently lactic. Strawberry yogurt, lemon verbena, baking chocolate, hazelnut, cedar in aroma and cup. Sweet-savory structure with tangy acidity; soft, velvety mouthfeel. Crisp, fruit- and cocoa-toned finish.",,"Chiriqui, Boquete growing region, western Panama",Light,5.62,March 2023
modcup,Colombia Pink Bourbon,"Wildly tropical, fruity and deep. Passion fruit, mango, tamarind, rice candy, hop flowers in aroma and cup. Richly bittersweet structure with juicy acidity; plushly syrupy mouthfeel. Long, lingering, fruity finish. ",https://www.modcup.com/,"Piendamó, Cauca Department, Colombia",Light,3.4,March 2023
Philipsburg Coffee Roasters,Beaverslide Rwanda/Ethiopia Blend,"Crisply chocolaty, roast-rounded. Baking chocolate, gently scorched fir, salted caramel, date, orange zest in aroma and cup. Bittersweet structure with gentle, round acidity; velvety mouthfeel. Chocolaty finish with undertones of salted caramel.",,Rwanda; Ethiopia,Medium,1.0,March 2023
Old World Coffee Lab,Guatemala ELLA Women-Owned Farms,"Crisply sweet-tart, richly nut-toned. Black cherry, cocoa nib, hazelnut, lime zest, cedar in aroma and cup. Sweet-tart structure with gently bright, balanced acidity; crisp, satiny mouthfeel. The flavor-saturated finish centers around sweet nut and chocolate tones.",https://oldworldcoffee.co/,Guatemala,Light,1.56,February 2023
Old World Coffee Lab,Ethiopia Banko Gotiti,"Richly floral, subtly complex. Star jasmine, cocoa nib, apricot, almond butter, cedar in aroma and cup. Sweet-toned structure with floral acidity; crisp, silky mouthfeel. The resonant finish centers around notes of cocoa nib and almond butter.",https://oldworldcoffee.co/,"Gedeb District, Gedeo Zone, southern Ethiopia",Light,1.83,February 2023
Old World Coffee Lab,Ethiopia Hambela Alaka,"Sweetly citrusy, floral-toned. Violet, pink grapefruit, baking chocolate, fresh-cut fir, cane sugar in aroma and cup. Sweet-tart structure with brisk acidity; crisp, satiny mouthfeel. The quiet finish consolidates to notes of pink grapefruit and fresh-cut fir.",https://oldworldcoffee.co/,"Hambela Wamena, Guji Zone, Oromia Region, Ethiopia",Medium-Light,1.83,February 2023
Old World Coffee Lab,Guatemala Bella Vista,"Crisply sweet-tart. Pomegranate, freesia, cashew butter, oak, maple syrup in aroma and cup. Tart-leaning structure with brisk acidity; very full, syrupy mouthfeel. Gently drying finish that leads with notes of cashew butter and oak.",https://oldworldcoffee.co/,"Antigua, Guatemala",Medium-Light,2.0,February 2023
Old World Coffee Lab,Guatemala Ayarza Natural,"Crisp, sweetly nut-toned. Hazelnut, caramel, roasted pear, balsam, lemon zest in aroma and cup. Sweet-toned structure with gentle acidity; crisp, silky mouthfeel. The gently drying finish leads with notes of hazelnut and caramel, with undertones of balsam.",https://oldworldcoffee.co/,"Laguna de Ayarza, southeast Guatemala",Medium-Light,1.79,February 2023
Temple Coffee,Kenya Gichathaini,"Richly sweet-savory, spice-toned. Dried fig, pistachio, allspice, narcissus, salted caramel in aroma and cup. Vibrantly sweet-savory structure with juicy acidity; viscous, satiny mouthfeel. The resonant finish consolidates to notes of salted caramel and allspice.",https://www.templecoffee.com,"Mathira West District, Nyeri growing region, Kenya",Light,2.08,February 2023
Durango Coffee Company,Guatemala Retiro del Quisaya Natural Process,"Berry-driven, brightly sweet-tart. Berry melange, cocoa nib, amber, cedar, a hint of sassafras in aroma and cup. Complex, bittersweet structure with juicy acidity; very full, syrupy mouthfeel. The long, resonant finish centers around cocoa nib and raspberry notes.",https://www.durangocoffee.com/,"San Martin Jilotepeque, Chimaltenango Department, Guatemala",Medium-Light,1.58,February 2023
RamsHead Coffee Roasters,Ethiopia Sidama Karamo Anaerobic Natural,"Elegantly fruit-toned, lactic-leaning. Mulberry, pineapple yogurt, cocoa nib, hop flowers, sandalwood in aroma and cup. Bittersweet structure with bright, winy acidity; plush, syrupy mouthfeel. Crisp finish with notes of pineapple yogurt and sandalwood. ",https://bit.ly/2P8dTQf,"Sidamo growing region, south-central Ethiopia.",Medium-Light,2.92,February 2023
Temple Coffee,Colombia Geiner Montano,"Deeply sweet, richly savory. Dark chocolate, apricot, lilac, almond, cedar in aroma and cup. Brightly sweet structure with juicy acidity; full, satiny-smooth mouthfeel. The sweet finish consolidates to notes of dark chocolate and almond butter.",https://www.templecoffee.com,"Huila Department, Colombia",Medium-Light,2.04,February 2023
Durango Coffee Company,Guatemala Retiro del Quisaya Washed Process,"Richly sweet, nut- and spice-toned. Macadamia nut, caramel, nutmeg, baking chocolate, fresh-cut oak in aroma and cup. Sweet structure with balanced, bright acidity; crisp, satiny mouthfeel. Quietly confident, caramelly and nutty finish.",https://www.durangocoffee.com/,"San Martin Jilotepeque, Chimaltenango Department, Guatemala",Medium-Light,1.58,February 2023
Rusty Dog Coffee,Papua New Guinea Kagamuga Natural,"Brightly sweet-tart. Lime zest, baking chocolate, agave syrup, freesia, marjoram in aroma and cup. Sweetly tart structure with brisk acidity; crisp, velvety mouthfeel. The quiet finish consolidates to notes of baking chocolate and marjoram.",https://www.rustydogcoffee.com/,"Jikawa Province, Papua New Guinea",Medium-Light,1.52,February 2023
JBC Coffee Roasters,Kabiufa Papua New Guinea,"Bright, juicy-sweet. Dark chocolate, goji berry, fine musk, almond butter, cedar in aroma and small cup. Creamy-smooth mouthfeel; resonant finish consolidates to notes of goji berry and almond. In three parts milk, dark chocolate notes are amplified, while dried berry notes provide sweet-tart ballast.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Kabiufa, Eastern Highlands, Papua New Guinea",Medium-Light,1.67,February 2023
Paradise Roasters,Ka‘u Red Catuai Peaberry,"Cocoa-toned, delicately sweet-tart. Cocoa nib, almond nougat, Cara Cara orange, magnolia, lemon thyme in aroma and small cup. Gently bright structure with juicy-sweet acidity; full, vibrant mouthfeel. Cocoa- and citrus-toned finish.",https://paradiseroasters.com/,"Ka‘u growing region, Big Island of Hawai’i",Medium-Light,7.5,February 2023
JBC Coffee Roasters,El Venado Costa Rica Yellow Honey SL28,"Delicately high-toned, balanced. Pink grapefruit, cocoa nib, narcissus, lychee, a hint of green peppercorn in aroma and small cup. Richly viscous mouthfeel; cocoa-toned finish with a hint of pink grapefruit. In cappuccino-scaled milk, floral and cocoa notes take center stage, while sweet citrus recedes.",https://www.jbccoffeeroasters.com/product-category/coffee/,"West Valley growing region, Costa Rica",Medium-Light,2.5,February 2023
JBC Coffee Roasters,Katana DR Congo Natural,"Baking chocolate, mulberry, squash blossom, hazelnut, fresh-cut oak in aroma and small cup. Crisp, velvety mouthfeel. The finish consolidates to notes of baking chocolate and roasted squash. In cappuccino format, savory notes predominate, with undertones of mulberry and baking chocolate.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Kabare, South Kivu Province, Democratic Republic of the Congo",Medium-Light,1.5,February 2023
Roadmap CoffeeWorks,Ethiopia Kayon Mountain,"Complex, multi-layered. Cocoa nib, Meyer lemon marmalade, magnolia, hazelnut, maple syrup in aroma and cup. Brightly sweet structure with high-toned acidity; very satiny, smooth mouthfeel. Crisp finish that leads with notes of Meyer lemon and cocoa nib.",https://roadmapcoffeeworks.com/,"Odo Shakiso District, Guji Zone, southern Ethiopia",Light,1.75,February 2023
Roadmap CoffeeWorks,El Salvador El Mirador,"Rich-toned, deeply sweet. Salted caramel, pomegranate, almond butter, narcissus, pink grapefruit zest in aroma and cup. Sweetly savory structure with citrusy acidity; plush, syrupy mouthfeel. Crisp, focused finish centered around notes of salted caramel and almond.",https://roadmapcoffeeworks.com/,"Apaneca-Ilamatepec growing region, El Salvador",Medium-Light,1.75,February 2023
Vermont Artisan Coffee & Tea,Panama Finca Las Nubes Geisha Microlot,"Balanced, delicately sweet-tart. Dark chocolate, magnolia, goji berry, almond brittle, blood orange in aroma and cup. Sweetly tart structure with vibrant acidity; crisp, silky-smooth mouthfeel. The pleasing finish centers around notes of dark chocolate and goji berry.",,"Boquete growing region, Panama",Medium-Light,1.88,February 2023
Durango Coffee Company,Kenya Gaturiri,"Confident, juicy-bright. Black currant, cocoa nib, freesia, orange zest, fresh-cut cedar in aroma and cup. High-toned structure with phosphoric acidity; medium-weight, viscous mouthfeell. The lively finish leads with notes of black currant and hints of spice-toned florals.",https://www.durangocoffee.com/,"Kiambu County, Kenya",Medium-Light,1.66,February 2023
Nomadic Bean,Ethiopia Guji Odo Shakiso,"Sweetly-fruit-forward. Just-picked blueberry, honeycomb, cashew butter, marjoram, baking chocolate in aroma and cup. Sweet-toned structure with pert acidity; pillowy, creamy-smooth mouthfeel. The finish is centered around notes of honey and cashew.",,"Guji Zone, Oromia Region, Southern Ethiopia",Light,1.67,February 2023
Color Coffee,Kenya Gaturiri AA,"Richly and brightly sweet-savory. Raspberry, lemon verbena, cocoa nib, cedar, pink grapefruit zest in aroma and cup. Complex, bittersweet structure with juicy acidity; lightly satiny mouthfeel. The finish consolidates to notes of cocoa nib and pink grapefruit zest.",,"Nyeri County, Kenya",Light,2.2,February 2023
Noble Coffee,Kenya Muiri Estate Peaberry,"Balanced, deeply sweet. Black currant, ginger blossom, orange zest, cedar, cocoa nib in aroma and cup. Sweet-toned structure with malic (green apple-like) acidity; delicately satiny mouthfeel. The finish leads with notes of cocoa nib and cedar.",,"Kiambu County, Kenya",Medium-Light,2.0,February 2023
Big Creek Coffee Roasters,Glow Seasonal Reserve Blend,"Sweetly-tart, fruit-toned. Dried raspberry, baking chocolate, clove, lime zest, fresh-cut oak in aroma and cup. Sweet-tart structure with brisk acidity; lightly satiny mouthfeel. Spice-toned finish with undercurrents of berries and crisp chocolate.",,Ethiopia,Light,1.58,February 2023
Pink Elephant Coffee,Tanzania Peaberry,"Sweet-toned, pleasingly floral. Baking chocolate, honeysuckle, hazelnut, fresh-cut fir, cane sugar in aroma and cup. Sweet structure with brisk acidity; full, velvety mouthfeel. Crisp, sweet, wood-framed finish with undertones of baking chocolate and hazelnut.",,Tanzania,Medium-Light,1.75,February 2023
Breck Coffee Roasters,Ethiopia Guji Kercha G2,"Delicately sweet-tart. Green grape, cocoa powder, bay leaf, fresh-cut fir, brown sugar in aroma and cup. Sweet-tart structure with brisk acidity; crisp, velvety mouthfeel. The gently drying finish leads with notes of cocoa powder and brown sugar, with hints of sweet herbs in the long.",,"Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,1.67,February 2023
Backporch Coffee Roasters,El Salvador Las Delicias Pacamara,"Crisply chocolaty, rich-toned. Baking chocolate, pomegranate, gingerbread, Meyer lemon zest, pink peppercorn in aroma and cup. Savory-sweet structure with bright, lively acidity; crisp yet velvety mouthfeel. The finish consolidates to notes of pomegranate and pink peppercorn.",,"Atiquizaya, Apaneca-Ilamatepec Mountains, El Salvador",Medium-Light,1.58,February 2023
Drink Coffee Do Stuff,Ethiopia Dur Feres,"Gently fruit-toned, richly wood-framed. Pie cherry, balsa wood, maple syrup, lemon balm, grapefruit zest in aroma and cup. Sweet structure with gentle, round acidity; crisp, silky mouthfeel. Wood-framed finish with tart cherry and grapefruit suggestions.",,"Guji Zone, Oromia Region, southern Ethiopia",Light,1.83,February 2023
PT's Coffee Roasting Co.,Guatemala El Milagro Bourbon Especial,"High-toned, chocolaty and richly aromatic. Malted chocolate, black cherry, cashew butter, pink grapefruit, toffee in aroma and cup. Brightly sweet structure with lively but restrained acidity; plush, creamy mouthfeel. The integrated finish carries over all the aroma and flavor notes from the cup.",https://www.ptscoffee.com,"Huehuetenango, Guatemala",Medium-Light,2.33,January 2023
Mostra Coffee,Philippines Sitio Belis Garnica,"Balanced, richly sweet-tart. Apricot, cocoa nib, almond, lemon verbena, cedar in aroma and cup. Sweet structure with bright, juicy acidity; crisp, satiny mouthfeel. The finish consolidates to notes of cocoa-toned almond and lemon verbena.",https://mostracoffee.com/collections/coffee,"Atok Benguet, northern Philippines",Medium-Light,2.5,January 2023
Mostra Coffee,Colombia Sergio Roldan,"Sweetly tart, chocolaty. Pomegranate, baking chocolate, orange zest, almond, oak in aroma and cup. Tart-leaning structure with brisk acidity; plush, chewy mouthfeel. Crisply chocolaty finish with undertones of pomegranate and almond.",https://mostracoffee.com/collections/coffee,"Urrao, Antioquia, Colombia",Medium-Light,2.08,January 2023
Mostra Coffee,Philippines Sitio Kisbong Anaerobic Natural,"Gently tart, sweetly herbaceous. Orange zest, pomegranate, cocoa nib, goat milk yogurt, cedar in aroma and cup. Sweet-tart structure with tangy acidity; full, syrupy-smooth mouthfeel. The gently drying finish centers around notes of orange zest and cedar.",https://mostracoffee.com/collections/coffee,"Atok Benguet, northern Philippines",Medium-Light,2.92,January 2023
Mostra Coffee,Philippines Sitio Kisbong #3011 Experimental Wine Yeast,"Delicately fruit-forward. Goji berry, lime, cocoa powder, fresh-cut fir, agave syrup in aroma and cup. Sweet-toned structure with gently acidity; very full, syrupy mouthfeel. Sweet, aromatic wood-framed finish supported by notes of cocoa powder and lime.",https://mostracoffee.com/collections/coffee,"Atok Benguet, northern Philippines",Medium-Light,2.92,January 2023
Press Coffee ,Costa Rica William Mora,"Sweetly tart, richly fruit-toned. Raspberry, Meyer lemon zest, dark chocolate, cedar, pink peppercorn in aroma and cup. Tart-leaning structure with juicy acidity; very full, satiny-smooth mouthfeel. The finish centers around dark chocolate and raspberry.",,"Tarrazu growing region, Costa Rica",Light,2.33,January 2023
